scheduler,mission_count,mean_ms,p95_ms,max_ms,realtime_feasible
TwinSync,2,0.012670874457398895,0.01758094999786408,0.026939666794431914,Yes
TwinSync,4,0.011234390002149059,0.014812266529891833,0.0215553330538872,Yes
TwinSync,6,0.018051094995522966,0.025092725005985504,0.03976333346145111,Yes
FIFO,2,0.004797373329286833,0.005850127884817386,0.01732844450291143,Yes
FIFO,4,0.007070061662185861,0.009432733622816157,0.020708000192826148,Yes
FIFO,6,0.012216658310535422,0.01703668319047816,0.030791166712636674,Yes
RoundRobin,2,0.002879019434153128,0.004041044207446651,0.008027444386647807,Yes
RoundRobin,4,0.0025777633406202467,0.004168066576918742,0.00825000006443588,Yes
RoundRobin,6,0.003557551679781075,0.0063999917074397655,0.011249666537575346,Yes
