scheduler,K1,K2,T1_ms,T2_ms,empirical_ratio,theoretical_ratio_K2
TwinSync,2,4,0.012670874457398895,0.011234390002149059,0.8866309929847793,4.0
TwinSync,4,6,0.011234390002149059,0.018051094995522966,1.6067712614632321,2.25
FIFO,2,4,0.004797373329286833,0.00707006166218586,1.4737359752731356,4.0
FIFO,4,6,0.00707006166218586,0.012216658310535422,1.7279422576858237,2.25
RoundRobin,2,4,0.002879019434153128,0.0025777633406202467,0.8953615630519366,4.0
RoundRobin,4,6,0.0025777633406202467,0.003557551679781076,1.3800924327386386,2.25
