scenario,config,scheduler,mean_tt_miss,std_tt_miss,mean_rc_miss,mean_be_miss,mean_worst_tt_aos,mean_utilization
balanced,B1-a,TwinSync,0.0,0.0,0.0,0.05403867024954101,-3.0,218.66749999999996
balanced,B1-a,FIFO,0.04546325434313752,0.010539636561055483,0.0,0.0,-1.4757333333333333,226.165
balanced,B1-a,RoundRobin,0.4301862832982637,0.012731556632193892,0.3433166666666667,0.6415159273729003,0.4672666666666668,112.0225
balanced,B1-b,TwinSync,0.0,0.0,0.0,0.0408525381178489,-3.0,218.55416666666667
balanced,B1-b,FIFO,0.01124246739740031,0.009322214858261714,0.0,0.0,-1.6053999999999997,225.55916666666673
balanced,B1-b,RoundRobin,0.4286809771065912,0.013325905310302503,0.3432000000000001,0.6370934885290754,0.45826666666666666,111.86999999999999
balanced,B1-c,TwinSync,0.0,0.0,0.0,0.03511018808986858,-3.0,218.47666666666663
balanced,B1-c,FIFO,0.004422823515337229,0.006507720785784709,0.0,0.0,-1.8208,225.0475
balanced,B1-c,RoundRobin,0.43207300709310287,0.01356221096724178,0.34273333333333333,0.6341406922414422,0.45693333333333347,111.82333333333332
balanced,B1-d,TwinSync,0.0,0.0,0.0,0.0794109545552474,-3.0,218.9216666666667
balanced,B1-d,FIFO,0.08833619731026297,0.015607613447499844,0.0,0.0,-0.8767999999999998,227.94
balanced,B1-d,RoundRobin,0.43286456728511763,0.01188750259496838,0.3434833333333333,0.6525638577453126,0.47866666666666663,112.0825
balanced,B1-e,TwinSync,0.0,0.0,0.0,0.05403867024954101,-3.0,218.66749999999996
balanced,B1-e,FIFO,0.04546325434313751,0.010539636561055483,0.0,0.0,-1.4757333333333336,226.16500000000005
balanced,B1-e,RoundRobin,0.4301862832982637,0.012731556632193892,0.3433166666666667,0.6415159273729003,0.4672666666666668,112.0225
balanced,B2-phase,TwinSync,0.0,0.0,0.0,0.15536247293420313,-3.0,189.49916666666664
balanced,B2-phase,FIFO,0.3106663194011425,0.014706653921990285,0.0,0.0,-0.9380000000000001,199.14083333333332
balanced,B2-phase,RoundRobin,0.43337360061048724,0.01046989248559087,0.3403946504279322,0.6527736489761704,0.23380000000000004,99.98333333333333
balanced,B3-correlated,TwinSync,0.0,0.0,0.0,0.11612035443492091,-3.0,219.25916666666666
balanced,B3-correlated,FIFO,0.20335711637885373,0.016550823889772512,0.0,0.0,-0.9292666666666669,229.01833333333335
balanced,B3-correlated,RoundRobin,0.43257115962200493,0.011024025508394283,0.3441833333333334,0.6666981378186521,0.5013333333333334,112.40833333333332
asymmetric,B1-a,TwinSync,0.0,0.0,0.0,0.958422498657838,-2.9180000000000015,67.31714285714285
