scenario_type,scheduler_type,seed,tt_rate_mult,tt_deadline,dynamic_config_id,cnt_staleness,cnt_failure_rate,cnt_noise_id,mission_count,experiment,tt_miss_rate,rc_miss_rate,be_miss_rate,tt_misses,rc_misses,be_misses,tt_total,rc_total,be_total,jain_index,mean_utilization,mean_worst_tt_aos,max_worst_tt_aos,mean_sched_time,median_sched_time,p95_sched_time,max_sched_time
balanced,TwinSync,1018,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.0,0,0,0,1007,2000,1271,0.9999997791707198,218.85,-3.0,-3.0,1.3939459997345692e-05,1.3374999980442226e-05,2.31271005304734e-05,5.41239996891818e-05
balanced,TwinSync,1019,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.0384615384615384,0,0,52,1004,2000,1352,0.9999820287938658,218.25,-3.0,-3.0,2.07250340081373e-05,2.339550019314629e-05,2.9383299943219743e-05,4.400000034365803e-05
balanced,TwinSync,1020,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.0158371040723981,0,0,21,992,2000,1326,0.9999840077825104,219.225,-3.0,-3.0,1.7678890004390267e-05,1.808399974834174e-05,2.4127049982780587e-05,3.095900046901079e-05
balanced,TwinSync,1021,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.0318991097922848,0,0,43,994,2000,1348,0.9999800236418264,219.125,-3.0,-3.0,1.9265899987658487e-05,2.0020499960082816e-05,2.933924952230881e-05,7.179200019891141e-05
balanced,TwinSync,1022,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.0388059701492537,0,0,52,1037,2000,1340,0.9999995056927172,218.175,-3.0,-3.0,2.03713420087297e-05,2.281249999214197e-05,3.0464249857686805e-05,6.554100036737509e-05
balanced,TwinSync,1023,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.038863976083707,0,0,52,982,2000,1338,0.9999919369378952,217.85,-3.0,-3.0,2.1599656023681742e-05,2.3020500066195385e-05,2.941604998341063e-05,5.741600034525618e-05
balanced,TwinSync,1024,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.0267379679144385,0,0,35,994,2000,1309,0.9999972524049588,217.025,-3.0,-3.0,1.8262315996253163e-05,2.0437500097614247e-05,2.6916050046565942e-05,3.308299983473262e-05
balanced,TwinSync,1025,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.025297619047619,0,0,34,977,2000,1344,0.9999819096972288,218.55,-3.0,-3.0,1.687929398576671e-05,1.806250020308653e-05,2.541904996178345e-05,3.433300025790231e-05
balanced,TwinSync,1026,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.027027027027027,0,0,36,1007,2000,1332,0.9999920127175288,218.1,-3.0,-3.0,1.9538205975550223e-05,1.9187499674444556e-05,2.7602700220086247e-05,4.004200036433758e-05
balanced,TwinSync,1027,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.0307116104868913,0,0,41,990,2000,1335,0.9999919749618812,218.2,-3.0,-3.0,2.1692486003303203e-05,2.218700001321849e-05,3.0552400721717264e-05,4.354100019554608e-05
balanced,TwinSync,1028,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.0307807807807807,0,0,41,1023,2000,1332,0.9999997797920444,218.5,-3.0,-3.0,2.170638796815183e-05,2.352049978071591e-05,3.0670199521409807e-05,7.237400041049113e-05
balanced,TwinSync,1029,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.0457271364317841,0,0,61,1005,2000,1334,0.99999799751202,217.75,-3.0,-3.0,2.1999157997925067e-05,2.320800012967084e-05,3.0624999499195835e-05,7.4915999903169e-05
balanced,TwinSync,1000,1.0,3.0,C1_stale_5,5,0.0,none,0,C,0.0,0.0,0.0318754633061527,0,0,43,1006,2000,1349,0.9999906744306906,218.975,-3.0,-3.0,2.2240325992243017e-05,2.3394999971060315e-05,3.0095499732851734e-05,6.554099945788039e-05
balanced,TwinSync,1001,1.0,3.0,C1_stale_5,5,0.0,none,0,C,0.0,0.0,0.0412067696835908,0,0,56,1003,2000,1359,0.9999821131442994,219.05,-3.0,-3.0,2.2509897969939628e-05,2.4020499949983787e-05,2.9924350155852146e-05,4.0750000152911525e-05
balanced,TwinSync,1002,1.0,3.0,C1_stale_5,5,0.0,none,0,C,0.0,0.0,0.0481400437636761,0,0,66,987,2000,1371,0.9999731290549312,218.95,-3.0,-3.0,2.1465986012117354e-05,2.1478500002558576e-05,3.2318100011252655e-05,0.0001043330003085
balanced,TwinSync,1003,1.0,3.0,C1_stale_5,5,0.0,none,0,C,0.0,0.0,0.0252293577981651,0,0,33,999,2000,1308,0.9999999440854794,217.225,-3.0,-3.0,1.884508200419077e-05,2.1686999843950616e-05,2.941604993793589e-05,3.470800038485322e-05
balanced,TwinSync,1004,1.0,3.0,C1_stale_5,5,0.0,none,0,C,0.0,0.0,0.022140221402214,0,0,30,961,2000,1355,0.999996429930127,219.5,-3.0,-3.0,2.119870199567231e-05,2.229149959021015e-05,3.045799985557096e-05,5.395799962570891e-05
balanced,TwinSync,1005,1.0,3.0,C1_stale_5,5,0.0,none,0,C,0.0,0.0,0.0304182509505703,0,0,40,1031,2000,1315,0.9999986243474868,218.175,-3.0,-3.0,1.807521003865986e-05,1.756250003381865e-05,2.600624970909848e-05,4.499999977269909e-05
balanced,TwinSync,1006,1.0,3.0,C1_stale_5,5,0.0,none,0,C,0.0,0.0,0.0212443095599393,0,0,28,1022,2000,1318,0.9999401362650328,218.775,-3.0,-3.0,2.035726201575017e-05,2.17920000977756e-05,2.9127049856469963e-05,4.46660005763988e-05
balanced,TwinSync,1007,1.0,3.0,C1_stale_5,5,0.0,none,0,C,0.0,0.0,0.0196374622356495,0,0,26,990,2000,1324,0.9999874431551634,217.975,-3.0,-3.0,1.947525998366473e-05,2.1166500118852127e-05,2.8291049602557905e-05,3.904099958162988e-05
balanced,TwinSync,1008,1.0,3.0,C1_stale_5,5,0.0,none,0,C,0.0,0.0,0.017530487804878,0,0,23,983,2000,1312,0.9999999445061843,219.225,-3.0,-3.0,1.993451800444745e-05,2.0562500139931217e-05,2.671009951882297e-05,3.362499955983367e-05
balanced,TwinSync,1009,1.0,3.0,C1_stale_5,5,0.0,none,0,C,0.0,0.0,0.0383170548459804,0,0,51,1026,2000,1331,0.9999997797920444,218.35,-3.0,-3.0,1.986211201074184e-05,1.979100034077419e-05,2.779310029836779e-05,3.666599968710216e-05
balanced,TwinSync,1010,1.0,3.0,C1_stale_5,5,0.0,none,0,C,0.0,0.0,0.0,0,0,0,999,2000,1299,0.9999906656620194,219.175,-3.0,-3.0,1.5777054029967984e-05,1.6125000001920853e-05,2.1290999984557857e-05,7.391600047412794e-05
balanced,TwinSync,1011,1.0,3.0,C1_stale_5,5,0.0,none,0,C,0.0,0.0,0.0449101796407185,0,0,60,1027,2000,1336,0.9999875726653872,217.775,-3.0,-3.0,1.9550618017092347e-05,1.987499945244053e-05,2.9652050034201212e-05,3.779100006795488e-05
balanced,TwinSync,1012,1.0,3.0,C1_stale_5,5,0.0,none,0,C,0.0,0.0,0.0238984316654219,0,0,32,974,2000,1339,0.99999799183256,218.85,-3.0,-3.0,1.8471107996447244e-05,1.8000000181928044e-05,2.738335019785153e-05,4.191599964542547e-05
balanced,TwinSync,1013,1.0,3.0,C1_stale_5,5,0.0,none,0,C,0.0,0.0,0.0166414523449319,0,0,22,985,2000,1322,0.9999932599128022,218.525,-3.0,-3.0,1.8263947999002992e-05,1.920850036185584e-05,2.651039990269054e-05,7.65410004532896e-05
balanced,TwinSync,1014,1.0,3.0,C1_stale_5,5,0.0,none,0,C,0.0,0.0,0.0532458059810357,0,0,73,989,2000,1371,0.9999427738711756,217.8,-3.0,-3.0,2.257284200641152e-05,2.208350042565144e-05,3.238125004827452e-05,6.316599956335267e-05
balanced,TwinSync,1015,1.0,3.0,C1_stale_5,5,0.0,none,0,C,0.0,0.0,0.0175706646294881,0,0,23,995,2000,1309,0.9999729253004564,217.35,-3.0,-3.0,1.7981846007387503e-05,1.906250008687493e-05,2.804404994094511e-05,3.454099987720838e-05
balanced,TwinSync,1016,1.0,3.0,C1_stale_5,5,0.0,none,0,C,0.0,0.0,0.0272108843537414,0,0,36,1005,2000,1323,0.9999875375438416,218.425,-3.0,-3.0,1.9731181993847718e-05,1.9729499854292957e-05,2.8464250090109995e-05,3.458299943304155e-05
balanced,TwinSync,1017,1.0,3.0,C1_stale_5,5,0.0,none,0,C,0.0,0.0,0.0351270553064275,0,0,47,1004,2000,1338,0.9999980012849516,218.1,-3.0,-3.0,1.93881760151271e-05,2.00829999812413e-05,2.9832999643986117e-05,4.370799979369622e-05
balanced,TwinSync,1018,1.0,3.0,C1_stale_5,5,0.0,none,0,C,0.0,0.0,0.0,0,0,0,1007,2000,1271,0.9999997791707198,218.85,-3.0,-3.0,1.4246128012018744e-05,1.3521000255423132e-05,2.4506250110789547e-05,4.329099920141744e-05
balanced,TwinSync,1019,1.0,3.0,C1_stale_5,5,0.0,none,0,C,0.0,0.0,0.0384615384615384,0,0,52,1004,2000,1352,0.9999820287938658,218.25,-3.0,-3.0,2.0722232007756247e-05,2.2750000425730832e-05,2.946635040643741e-05,7.029200060060248e-05
